name,type_of_source,pop,rock,indi,hiphop,metal,electronic,folk,blues,classical,jazz,country,disco,reggae
2517 - Подорожник. Вечерний Ургант. 12.03.2020.txt,Show,0,0,0,203,0,0,0,0,0,0,0,0,0
2Маши - Мама я танцую.txt,Show,237,0,0,0,0,0,0,0,0,0,0,0,0
8_Русская_Музыкальная_Премия_Телеканала_RU_TV.txt,Show,3302,0,0,445,0,0,0,0,0,0,0,0,0
ANIKV feat. SALUKI - Меня не будет. Вечерний Ургант. 21.05.2020.txt,Show,191,0,0,0,0,0,0,0,0,0,0,0,0
Apocalyptica – «Enter Sandman» (06.04.2018).txt,Show,0,0,0,0,202,0,0,0,0,0,0,0,0
ARTEMIEV – «В городе твоём» (09.04.2018).txt,Show,217,0,0,0,0,0,0,0,0,0,0,0,0
Artik & Asti - Девочка танцуй. Вечерний Ургант. 21.02.2020.txt,Show,250,0,0,0,0,0,0,0,0,0,0,0,0
Blue Man Group. 28.09.2018.txt,Show,0,197,0,0,0,0,0,0,0,0,0,0,0
BrainStorm feat. Сансара - К осени. Вечерний Ургант. 25.11.2019.txt,Show,213,0,0,0,0,0,0,0,0,0,0,0,0
Cream Soda - Никаких больше вечеринок. Вечерний Ургант. от 20.09.2019.txt,Show,0,0,0,0,0,216,0,0,0,0,0,0,0
Emin & Иван Ургант – Лучший город Земли. Вечерний Ургант. 14.04.2020.txt,Show,153,0,0,0,0,0,0,0,0,0,0,0,0
GONE.Fludd feat. IROH – ВКУС ЯДА. Вечерний Ургант. 10.06.2020.txt,Show,0,0,0,193,0,0,0,0,0,0,0,0,0
GONEFludd – Кубик льда Вечерний Ургант. 04.10.2018.txt,Show,0,0,0,136,0,0,0,0,0,0,0,0,0
IOWA - Пой. Вечерний Ургант. 16.05.2019.txt,Show,206,0,0,0,0,0,0,0,0,0,0,0,0
JONY - Ты беспощадна. Вечерний Ургант. 09.06.2020.txt,Show,235,0,0,0,0,0,0,0,0,0,0,0,0
Jukebox Trio - Немедленный танец. Вечерний Ургант. 22.10.2019.txt,Show,192,0,0,0,0,0,0,0,0,0,0,0,0
Kain Rivers - «Раненый зверь». Вечерний Ургант. 10.04.2019.txt,Show,191,0,0,0,0,0,0,0,0,0,0,0,0
Kate NV - Telefon. Вечерний Ургант. 30.06.2020.txt,Show,0,0,0,0,0,0,0,0,0,254,0,0,0
Little Big & Фрукты – Faradenza. Вечерний Ургант. (26.09.2018).txt,Show,0,0,0,0,0,149,0,0,0,0,0,0,0
LIZER - Корабли. Вечерний Ургант. 23.05.2019.txt,Show,0,0,0,183,0,0,0,0,0,0,0,0,0
LOBODA - Пуля-дура! Вечерний Ургант. 19.04.2019.txt,Show,209,0,0,0,0,0,0,0,0,0,0,0,0
Loqiemean - «Солнечная сторона». Вечерний Ургант. 19.03.2019.txt,Show,0,0,0,199,0,0,0,0,0,0,0,0,0
Manizha & Анна Чиповская с песней Black Swan. Вечерний Ургант. 01.02.2019.txt,Show,161,0,0,0,0,0,0,0,0,0,0,0,0
MANIZHA - VANYA. Вечерний Ургант. 30.01.2020.txt,Show,203,0,0,0,0,0,0,0,0,0,0,0,0
MARUV & Boosin – Drunk Groove. Вечерний Ургант. (08.11.2018).txt,Show,0,0,0,0,0,211,0,0,0,0,0,0,0
MARUV - To be mine. Вечерний Ургант. 08.11.2019.txt,Show,0,0,0,0,0,183,0,0,0,0,0,0,0
MATRANG струнный квартет Main strings и группа Фрукты - С самим собой. Вечерний Ургант.txt,Show,0,0,184,0,0,0,0,0,0,0,0,0,0
MDee.Плакала. Вечерний Ургант. 25.12.2019.txt,Show,178,0,0,0,0,0,0,0,0,0,0,0,0
Mgzavrebi - Vatman. Вечерний Ургант. 05.04.2019.txt,Show,245,0,0,0,0,0,0,0,0,0,0,0,0
Mgzavrebi - «Gala». Вечерний Ургант. (05.04.2018).txt,Show,206,0,0,0,0,0,0,0,0,0,0,0,0
Mot feat. Валерий Меладзе - «Сколько лет». Вечерний Ургант. 01.03.2019.txt,Show,222,0,0,0,0,0,0,0,0,0,0,0,0
NILETTO - Любимка. Вечерний Ургант. 17.12.2019.txt,Show,199,0,0,0,0,0,0,0,0,0,0,0,0
NOW UNITED и группа ФРУКТЫ – What Are We Waiting For Вечерний Ургант. (23.04.2018).txt,Show,223,0,0,0,0,0,0,0,0,0,0,0,0
Pompeya - 90. Вечерний Ургант. 11.11.2019.txt,Show,0,0,220,0,0,0,0,0,0,0,0,0,0
Race to Space – «Freefall» (11.04.2018).txt,Show,0,0,200,0,0,0,0,0,0,0,0,0,0
RASA - Пчеловод. Вечерний Ургант. 20.12.2019.txt,Show,196,0,0,0,0,0,0,0,0,0,0,0,0
RSAC x ELLA - NBA (Не мешай). Вечерний Ургант. 05.06.2019.txt,Show,0,0,137,0,0,0,0,0,0,0,0,0,0
Shortparis - «Страшно». Вечерний Ургант. 21.02.2019.txt,Show,0,268,0,0,0,0,0,0,0,0,0,0,0
Sirotkin - «Выше домов». Вечерний Ургант. 14.03.2019.txt,Show,0,0,277,0,0,0,0,0,0,0,0,0,0
Tesla Boy - Compromise. Вечерний Ургант. 17.04.2019.txt,Show,0,0,252,0,0,0,0,0,0,0,0,0,0
The Hatters – Не услышала. Вечерний Ургант. (13.11.2018).txt,Show,0,216,0,0,0,0,0,0,0,0,0,0,0
Thomas Mraz - Рандом. Вечерний Ургант. 08.10.2019.txt,Show,0,0,0,0,0,0,0,191,0,0,0,0,0
Vahtang - Время не ждет. Вечерний Ургант. 19.05.2020.txt,Show,218,0,0,0,0,0,0,0,0,0,0,0,0
YOURA - SPECKLASS. Вечерний Ургант. 10.06.2019.txt,Show,0,0,0,184,0,0,0,0,0,0,0,0,0
Zivert и NILETTO - Fly 2. Вечерний Ургант. 04.06.2020.txt,Show,199,0,0,0,0,0,0,0,0,0,0,0,0
Zivert и группа Фрукты - Life. Вечерний Ургант. 31.05.2019.txt,Show,0,0,0,0,0,220,0,0,0,0,0,0,0
ZolotoiGrammofon2019.txt,Show,5045,589,0,0,0,0,0,0,0,0,0,0,0
алёна швец. Одуванчик. Вечерний Ургант. 25.09.2019.txt,Show,0,0,183,0,0,0,0,0,0,0,0,0,0
Александр Иванов и группа Рондо - Боже какой пустяк. Вечерний Ургант.21.11.2019.txt,Show,0,262,0,0,0,0,0,0,0,0,0,0,0
АлоэВера - Чтобыцеловаться. Вечерний Ургант. 29.04.2020.txt,Show,0,0,208,0,0,0,0,0,0,0,0,0,0
Альянс - Навстречу холодному свету. Вечерний Ургант. 08.04.2020.txt,Show,0,0,266,0,0,0,0,0,0,0,0,0,0
Андрей Гризли и Элина Чага – «Алё». Вечерний Ургант. (14.12.2018).txt,Show,204,0,0,0,0,0,0,0,0,0,0,0,0
Анжелика Варум - Ля-ля-фа. Вечерний Ургант. 03.12.2019.txt,Show,261,0,0,0,0,0,0,0,0,0,0,0,0
Ани Лорак - «Сумасшедшая» (01.06.2018).txt,Show,211,0,0,0,0,0,0,0,0,0,0,0,0
Ансамбль Молодость - Вечная молодость. Вечерний Ургант. 18.06.2019.txt,Show,0,167,0,0,0,0,0,0,0,0,0,0,0
Ария - «Гонка за славой». Вечерний Ургант. 15.03.201.txt,Show,0,287,0,0,0,0,0,0,0,0,0,0,0
Артур Пирожков - Она решила сдаться. Вечерний Ургант. 11.10.2019.txt,Show,203,0,0,0,0,0,0,0,0,0,0,0,0
Баста - «Мои разбитые мечты». (13.04.2018).txt,Show,0,0,0,208,0,0,0,0,0,0,0,0,0
Би-2 - «Черное Солнце». Вечерний Ургант. 12.10.2018.txt,Show,0,281,0,0,0,0,0,0,0,0,0,0,0
Би-2 и симфонический оркестр Москвы Русская филармония - Философский камень. Вечерний Ургант.txt,Show,0,274,0,0,0,0,0,0,0,0,0,0,0
Валерия и Red Square Band - «Космос» (17.04.2018).txt,Show,190,0,0,0,0,0,0,0,0,0,0,0,0
Вера Брежнева - Хорошие новости. Вечерний Ургант. 26.06.2020.txt,Show,220,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант  Алсу и Баста – «Мы с тобой» (02.11.2018).txt,Show,0,0,0,233,0,0,0,0,0,0,0,0,0
Вечерний Ургант  Дайте танк (!) - «Я». 13.02.2019.txt,Show,0,0,211,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант BrainStorm – Контакты (22.11.2018).txt,Show,242,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант SunSay - «Снежно». 31.01.2019.txt,Show,215,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Swanky Tunes & LP - «Day by day». 28.12.2018.txt,Show,0,0,211,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Ёлка - «Где ты». 09.11.2018.txt,Show,198,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Ёлка Иван Ургант и группа «Фрукты» – Кленовый лист (29.10.2018).txt,Show,202,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Алёна Свиридова - «Травушка». (06.11.2018).txt,Show,254,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Александра Дурсенева – «Котлетки с Пюрешкой» (Enjoykin cover).txt,Show,0,0,0,0,0,0,0,0,118,0,0,0,0
Вечерний Ургант Арутюнов & Quorum – Piggy Pig Pig (08.10.2018).txt,Show,0,221,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Билли Новик - «Здравствуй черный понедельник». 28.01.2019.txt,Show,0,177,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Браво - «Любовь не горит». 16.11.2018.txt,Show,0,218,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Вера Брежнева - «Любите друг друга». 21.12.2018.txt,Show,224,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Группировка «Ленинград» – Антидепрессанты (07.12.2018).txt,Show,0,160,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Д Мацуев и А. Малофеев – Вариации на тему Паганини (26.04.2018).txt,Show,0,0,0,0,0,0,0,0,182,0,0,0,0
Вечерний Ургант Диана Арбенина «Ночные Снайперы» - «Катастрофически». 30.10.20.txt,Show,0,217,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Мельница – Голубая трава (19.11.2018).txt,Show,0,239,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Моя Мишель – «ХУ» (10.10.2018).txt,Show,187,0,0,0,0,0,0,0,0,0,0,0,0
Вечерний Ургант Николай Расторгуев и Иван Ургант - «Клетки-клетки». 20.02.2019.txt,Show,146,0,0,0,0,0,0,0,0,0,0,0,0
